day,max temp,min temp,avg temp,td avg,hr avg,wind dir,wind int,wind gust,pressure,precip,tot oct,low oct,visibility
2015-12-02,8.9,3.4,5.1,1.0,75.7,W,25.1,72.0,1020.5,0.1,6.8,6.7,31.2
2015-12-03,8.7,2.9,5.7,5.0,94.8,WSW,11.9,----,1027.7,1.0,8.0,7.6,5.8
2015-12-04,8.3,-2.7,3.4,2.4,94.7,SW,6.3,----,1032.2,0.0,4.4,4.9,3.1
2015-12-05,8.5,-2.5,5.3,2.8,82.6,WSW,14.0,----,1031.2,Tr,6.8,3.8,11.8
2015-12-06,9.6,1.6,5.0,2.4,85.1,SW,13.2,----,1031.0,0.0,3.9,0.4,12.0
2015-12-07,9.9,0.3,4.3,2.1,85.8,SW,12.2,----,1030.1,0.0,3.2,1.0,15.4
2015-12-08,8.5,2.3,6.4,5.0,90.2,SW,8.9,----,1036.4,0.0,7.6,6.8,9.5
2015-12-09,9.3,3.4,5.9,5.3,96.2,NE,9.9,----,1035.1,0.0,7.6,6.2,2.6
2015-12-10,6.0,3.2,4.3,3.6,94.7,WSW,10.5,----,1033.8,0.2,---,7.2,8.3
2015-12-11,7.1,-5.4,1.2,-1.3,86.8,WNW,4.8,----,1035.4,0.0,2.5,5.4,13.0
2015-12-12,5.8,-5.5,2.6,-0.4,79.3,SW,13.2,----,1024.1,1.5,6.1,4.0,12.5
2015-12-13,6.8,-1.8,2.7,1.1,90.9,WSW,13.2,43.2,1021.7,0.9,4.8,4.4,11.6
2015-12-14,9.4,0.6,4.6,1.5,80.1,WSW,23.9,72.0,1019.3,1.0,6.8,6.5,26.6
2015-12-15,4.0,-2.6,0.4,-2.5,82.5,NW,6.2,----,1028.2,0.0,6.5,5.5,14.7
2015-12-16,3.3,-0.7,2.0,0.9,91.5,SW,5.4,----,1028.4,0.0,7.8,7.0,3.7
2015-12-17,4.3,-3.1,1.9,1.2,96.1,SSW,5.0,----,1031.8,0.0,7.6,7.3,3.1
2015-12-18,5.9,-3.5,3.4,2.7,93.2,SW,12.8,----,1025.8,Tr,7.5,6.5,11.0
2015-12-19,9.6,4.9,7.1,5.5,89.2,WSW,14.7,----,1024.3,0.2,7.3,5.2,17.3
2015-12-20,10.8,0.0,5.0,3.6,92.3,SW,7.4,----,1027.2,0.0,4.0,1.2,7.5
2015-12-21,3.9,-2.8,0.6,0.6,100.0,SW,4.8,----,1027.0,0.0,3.8,7.6,0.6
2015-12-22,8.5,-1.7,4.8,2.8,84.8,WSW,19.5,64.8,1025.1,Tr,5.0,4.5,22.7
2015-12-23,10.7,5.7,8.7,5.1,79.0,SW,18.8,54.0,1026.0,0.0,6.0,3.5,34.6
2015-12-24,14.3,-0.1,8.1,3.1,73.6,WSW,17.1,64.8,1028.3,0.0,3.4,2.8,22.9
2015-12-25,9.5,-2.1,2.5,1.5,93.5,NE,4.2,----,1029.9,0.0,2.2,1.9,3.9
2015-12-26,9.8,-1.8,6.4,4.2,84.1,SW,13.1,50.4,1029.8,Tr,6.1,5.1,21.1
2015-12-27,13.2,5.9,10.5,5.7,72.2,SW,22.8,61.2,1026.5,0.0,4.0,1.8,40.4
2015-12-28,12.6,6.1,8.7,3.8,71.5,SW,16.2,----,1028.7,0.0,4.8,1.5,31.9
2015-12-29,9.0,2.7,5.6,3.9,89.3,WNW,11.3,----,1032.3,0.1,6.3,6.2,10.9
2015-12-30,3.8,-6.8,-1.7,-4.1,85.8,NE,20.6,----,1038.5,Tr,4.3,7.3,20.0
2015-12-31,-3.2,-9.5,-6.0,-9.1,79.5,ENE,18.8,----,1040.7,0.0,0.9,2.6,20.8